iter	Passed	Remaining
938	264440	17178
939	264647	16892
940	264857	16606
941	265046	16319
942	265242	16032
943	265428	15745
944	265632	15460
945	265836	15174
946	266081	14891
947	266285	14606
948	266477	14320
949	266688	14036
950	266898	13751
951	267084	13466
952	267293	13182
953	267521	12899
954	267712	12614
955	267930	12331
956	268121	12047
957	268336	11764
958	268532	11480
959	268732	11197
960	268942	10914
961	269143	10631
962	269350	10348
963	269540	10065
964	269724	9782
965	269913	9500
966	270137	9218
967	270368	8937
968	270571	8656
969	270755	8373
970	270946	8092
971	271150	7810
972	271341	7529
973	271545	7248
974	271748	6967
975	271939	6687
976	272154	6406
977	272351	6126
978	272558	5846
979	272765	5566
980	272960	5286
981	273183	5007
982	273393	4728
983	273600	4448
984	273815	4169
985	274017	3890
986	274250	3612
987	274433	3333
988	274630	3054
989	274832	2776
990	275090	2498
991	275339	2220
992	275550	1942
993	275770	1664
994	275974	1386
995	276219	1109
996	276449	831
997	276665	554
998	276870	277
999	277079	0
